,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
4940,Petrol,Hatchback,26416.0,Automatic,2,Hyundai i20,2019.0,806000.0,17.4,1197.0,5.0,Hyderabad
4941,Diesel,Sedan,70000.0,Manual,2,Skoda Rapid,2018.0,775000.0,21.13,1498.0,5.0,Hyderabad
4942,Petrol,SUV,27581.0,Manual,2,Honda WR-V,2018.0,655000.0,17.5,1199.0,5.0,Hyderabad
4943,Diesel,SUV,80000.0,Automatic,1,Toyota Fortuner,2018.0,1776500.0,12.9,1949.5,7.0,Hyderabad
4944,Petrol,Sedan,88126.0,Manual,1,Maruti Swift Dzire,2020.0,672000.0,21.21,1197.0,5.0,Hyderabad
4945,Petrol,SUV,72563.0,Automatic,1,Hyundai Venue,2019.0,981000.0,18.15,998.0,5.0,Hyderabad
4946,Lpg,Hatchback,90000.0,Manual,2,Hyundai EON,2013.0,220000.00000000003,21.1,814.0,5.0,Hyderabad
4947,Petrol,SUV,88060.0,Manual,1,Hyundai Creta,2016.0,803999.9999999999,13.0,1591.0,5.0,Hyderabad
4948,Petrol,Hatchback,20000.0,Manual,1,Maruti Swift,2022.0,800000.0,22.38,1197.0,5.0,Hyderabad
4949,Diesel,MUV,119000.0,Manual,2,Toyota Innova,2015.0,950000.0,12.99,1949.5,7.0,Hyderabad
4950,Petrol,Hatchback,60000.0,Manual,1,Hyundai i20,2017.0,600000.0,18.6,1197.0,5.0,Hyderabad
4951,Diesel,SUV,45000.0,Automatic,1,Ford Endeavour,2020.0,1776500.0,12.4,1949.5,7.0,Hyderabad
4952,Diesel,MUV,80000.0,Automatic,2,Kia Carnival,2021.0,1776500.0,14.11,1949.5,7.0,Hyderabad
4953,Diesel,SUV,95315.0,Manual,1,Hyundai Creta,2020.0,1475000.0,20.5,1582.0,5.0,Hyderabad
4954,Petrol,Hatchback,100000.0,Manual,2,Maruti Wagon R,2013.0,263000.0,20.51,998.0,5.0,Hyderabad
4955,Petrol,Hatchback,31000.0,Manual,1,Hyundai Santro Xing,2010.0,245000.00000000003,17.92,1086.0,5.0,Hyderabad
4956,Diesel,SUV,109271.0,Manual,1,Maruti Vitara Brezza,2019.0,777000.0,24.3,1248.0,5.0,Hyderabad
4957,Petrol,Hatchback,47844.0,Automatic,2,Maruti Ignis,2019.0,507000.0,20.89,1197.0,5.0,Hyderabad
4958,Petrol,MUV,80000.0,Manual,2,Maruti XL6,2021.0,1050000.0,19.01,1462.0,6.0,Hyderabad
4959,Petrol,Hatchback,62438.0,Manual,1,Maruti Wagon R,2013.0,297000.0,18.9,998.0,5.0,Hyderabad
4960,Petrol,Hatchback,89318.0,Manual,3,Hyundai i20,2013.0,411000.00000000006,18.5,1197.0,5.0,Hyderabad
4961,Diesel,MUV,90000.0,Automatic,2,Kia Carnival,2021.0,1776500.0,14.11,1949.5,7.0,Hyderabad
4962,Petrol,Hatchback,29200.0,Automatic,2,Hyundai Santro,2019.0,529000.0,20.3,1086.0,5.0,Hyderabad
4963,Petrol,SUV,40000.0,Automatic,1,MG Hector,2020.0,1776500.0,13.96,1451.0,5.0,Hyderabad
4964,Petrol,Sedan,96940.0,Automatic,1,Honda City,2019.0,916000.0,18.4,1498.0,5.0,Hyderabad
4965,Petrol,Sedan,65850.0,Manual,1,Hyundai Verna,2018.0,842000.0,17.0,1591.0,5.0,Hyderabad
4966,Petrol,Hatchback,90000.0,Manual,1,Hyundai i10,2011.0,290000.0,20.36,1197.0,5.0,Hyderabad
4967,Petrol,Hatchback,38264.0,Automatic,1,Hyundai Santro,2019.0,525000.0,20.3,1086.0,5.0,Hyderabad
4968,Petrol,SUV,47000.0,Automatic,1,Renault Duster,2018.0,894999.9999999999,14.99,1498.0,5.0,Hyderabad
